Nr.,Titlu Produs,Brand,Material,Preț Oficial (LEI),Cale Imagine Locală,URL Master Slab,URL Produs top-blat.ro
14,Ardesia Nero a Spacco – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.210,340 lei/mp",culori_quartz/images/ardesia-nero-a-spacco-ceramica-laminam.avif,https://top-blat.ro/wp-content/uploads/2025/10/ARDESIA-NERO-A-SPACCO-2-LAMINAM-2.avif,https://top-blat.ro/produs/ardesia-nero-a-spacco-ceramica-laminam/
15,Ares – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/ares-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ARES-CIMSTONE.avif,https://top-blat.ro/produs/ares-quartz-cimstone/
16,Ariel – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/ariel-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/ARIEL-2-SILESTONE.avif,https://top-blat.ro/produs/ariel-quartz-silestone/
17,Arte Black – Quartz Coante,Coante,Cuarț Compozit,"2.884,917 lei/mp",culori_quartz/images/arte-black-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2025/10/ARTE-BLACK-2-COANTE-2.avif,https://top-blat.ro/produs/arte-black-quartz-coante/
18,Baobab – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/baobab-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/BAOBAB-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/baobab-ceramica-atlas-plan/
19,Barents – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/barents-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/BARENTS-CIMSTONE.avif,https://top-blat.ro/produs/barents-quartz-cimstone/
20,Basaltina Atlas Plan – Placa Ceramica pentru Interior,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/basaltina-atlas-plan-placa-ceramica-pentru-interior.webp,https://top-blat.ro/wp-content/uploads/2025/10/BASALTINA-VOLCANO-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/basaltina-atlas-plan-placa-ceramica-pentru-interior/
21,Bianco Calacatta – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/bianco-calacatta-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/BIANCO-CALACATTA-2-SILESTONE.avif,https://top-blat.ro/produs/bianco-calacatta-quartz-silestone/
22,Bianco Dolomite – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/bianco-dolomite-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/BIANCO-DOLOMITE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/bianco-dolomite-ceramica-atlas-plan/
23,Bianco Lasa Lucidato – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.268,888 lei/mp",culori_quartz/images/bianco-lasa-lucidato-ceramica-laminam.avif,https://top-blat.ro/wp-content/uploads/2025/10/BIANCO-LASA-LUCIDATO-2-LAMINAM-2.avif,https://top-blat.ro/produs/bianco-lasa-lucidato-ceramica-laminam/
24,Bianco Statuario Venato Soft Touch BM – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.268,888 lei/mp",culori_quartz/images/bianco-statuario-venato-soft-touch-bm-ceramica-laminam.avif,https://top-blat.ro/wp-content/uploads/2025/10/BIANCO-STATUARIO-VENETO-SOFT-TOUCH-BM-2-LAMINAM-2.avif,https://top-blat.ro/produs/bianco-statuario-venato-soft-touch-bm-ceramica-laminam/
25,Black Atlantis – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/black-atlantis-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/BLACK-ATLANTIS-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/black-atlantis-ceramica-atlas-plan/
26,Black Lava – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/black-lava-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/11/BLACK-LAVA-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/black-lava-ceramica-atlas-plan/
27,Black Tempest – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/black-tempest-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/BLACK-TEMPEST-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/black-tempest-ceramica-atlas-plan/
28,Blanco City – Quartz Silestone,Silestone,Cuarț Compozit,"3.847,899 lei/mp",culori_quartz/images/blanco-city-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/BLANCO-CITY-2-SILESTONE.avif,https://top-blat.ro/produs/blanco-city-quartz-silestone/
29,Blanco Maple – Quartz Silestone,Silestone,Cuarț Compozit,"4.418,844 lei/mp",culori_quartz/images/blanco-maple-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/BLANCO-MAPLE-2-SILESTONE.avif,https://top-blat.ro/produs/blanco-maple-quartz-silestone/
30,Blanco Norte – Quartz Silestone,Silestone,Cuarț Compozit,"4.418,844 lei/mp",culori_quartz/images/blanco-norte-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/BLANCO-NORTE-2-SILESTONE.avif,https://top-blat.ro/produs/blanco-norte-quartz-silestone/
31,Blanco Orion – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/blanco-orion-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/BLANCO-ORION-2-SILESTONE.avif,https://top-blat.ro/produs/blanco-orion-quartz-silestone/
32,Blanco Zeus – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/blanco-zeus-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/BLANCO-ZEUS-2-SILESTONE.avif,https://top-blat.ro/produs/blanco-zeus-quartz-silestone/
33,Blaze Iron – Ceramic Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/blaze-iron-ceramic-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/11/BLAZE-IRON-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/blaze-iron-ceramic-atlas-plan/
34,Bohemian Flame – Quartz Silestone,Silestone,Cuarț Compozit,"9.309,387 lei/mp",culori_quartz/images/bohemian-flame-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/BOHEMIAN-FLAME-2-SILESTONE.avif,https://top-blat.ro/produs/bohemian-flame-quartz-silestone/
35,Boost Balance Ash – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/boost-balance-ash-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/11/BOOST-BALANCE-ASH-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/boost-balance-ash-ceramica-atlas-plan/
36,Boost Grey – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/boost-grey-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/11/BOOST-GREY-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/boost-grey-ceramica-atlas-plan/
37,Boost Icor Bone – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/boost-icor-bone-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/BOOST-ICOR-BONE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/boost-icor-bone-ceramica-atlas-plan/
38,Boost Icor Dune – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/boost-icor-dune-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/BOOST-ICOR-DUNE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/boost-icor-dune-ceramica-atlas-plan/
39,Boost Mineral Grey – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/boost-mineral-grey-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/BOOST-MINERAL-GREY-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/boost-mineral-grey-ceramica-atlas-plan/
40,Boost Natural Ecru – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/boost-natural-ecru-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/11/BOOST-NATURAL-ECRU-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/boost-natural-ecru-ceramica-atlas-plan/
41,Boost Natural Kaolin – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/boost-natural-kaolin-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/BOOST-NATURAL-KAOLIN-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/boost-natural-kaolin-ceramica-atlas-plan/
42,Boost Natural Pro Sand – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/boost-natural-pro-sand-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/11/BOOST-NATURAL-PRO-SAND-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/boost-natural-pro-sand-ceramica-atlas-plan/
43,Boost Smoke – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/boost-smoke-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/11/BOOST-SMOKE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/boost-smoke-ceramica-atlas-plan/
44,Boost Stone Ivory – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/boost-icor-stone-ivory-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/BOOST-STONE-IVORY-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/boost-icor-stone-ivory-ceramica-atlas-plan/
45,Boost Tarmac – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/boost-tarmac-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/11/BOOST-TARMAC-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/boost-tarmac-ceramica-atlas-plan/
46,Boost Vision Camel – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/boost-vision-camel-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/BOOST-VISION-CAMEL-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/boost-vision-camel-ceramica-atlas-plan/
47,Boost Vision Glow – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/boost-vision-glow-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/BOOST-VISION-GLOW-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/boost-vision-glow-ceramica-atlas-plan/
48,Boost White – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/boost-white-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/BOOST-WHITE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/boost-white-ceramica-atlas-plan/
49,Boreas – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/boreas-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/BOREAS-CIMSTONE.avif,https://top-blat.ro/produs/boreas-quartz-cimstone/
50,Brass Relish – Quartz Silestone,Silestone,Cuarț Compozit,"4.766,409 lei/mp",culori_quartz/images/brass-relish-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/BRASS-RELISH-2-SILESTONE.avif,https://top-blat.ro/produs/brass-relish-quartz-silestone/
51,Brilliant Arabesco – Quartz Technistone,Technistone,Cuarț Compozit,"2.510,220 lei/mp",culori_quartz/images/brilliant-arabesco-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/BRILLIANT-ARABESCO-3-TECHNISTONE.avif,https://top-blat.ro/produs/brilliant-arabesco-quartz-technistone/
52,Brilliant Black – Quartz Technistone,Technistone,Cuarț Compozit,"2.376,090 lei/mp",culori_quartz/images/brilliant-black-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/BRILLIANT-BLACK-3-TECHNISTONE.avif,https://top-blat.ro/produs/brilliant-black-quartz-technistone/
53,Brilliant White – Quartz Technistone,Technistone,Cuarț Compozit,"2.376,090 lei/mp",culori_quartz/images/brilliant-white-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/BRILLIANT-WHITE-3-TECHNISTONE.avif,https://top-blat.ro/produs/brilliant-white-quartz-technistone/
54,Bronze Coast – Quartz Technistone,Technistone,Cuarț Compozit,"3.424,701 lei/mp",culori_quartz/images/bronze-coast-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/BRONZE-COAST-3-TECHNISTONE.avif,https://top-blat.ro/produs/bronze-coast-quartz-technistone/
55,Cala Blue – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/cala-blue-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CALA-BLUE-2-SILESTONE.avif,https://top-blat.ro/produs/cala-blue-quartz-silestone/
56,Calacatta Aldeon – Calisco,Alte Decoruri,Cuarț Compozit,"2.918,832 lei/mp",culori_quartz/images/quartz-compozit-calacatta.avif,https://top-blat.ro/wp-content/uploads/2024/03/2-e1699054600666.avif,https://top-blat.ro/produs/quartz-compozit-calacatta/
57,Calacatta Antique – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/calacatta-antique-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-ANTIQUE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/calacatta-antique-ceramica-atlas-plan/
58,Calacatta Apuano – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/calacatta-apuano-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-APUANO-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/calacatta-apuano-ceramica-atlas-plan/
59,Calacatta Bernini – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/calacatta-bernini-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-BERNINI-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/calacatta-bernini-ceramica-atlas-plan/
60,Calacatta Black Bocciardato BM – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.268,888 lei/mp",culori_quartz/images/calacatta-black-bocciardato-bm-ceramica-laminam.avif,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-BLACK-BOCCIARDATO-BM-2-LAMINAM-2.avif,https://top-blat.ro/produs/calacatta-black-bocciardato-bm-ceramica-laminam/
61,Calacatta Delicato – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/calacatta-delicato-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-DELICATO-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/calacatta-delicato-ceramica-atlas-plan/
62,Calacatta Edera – Quartz Coante,Coante,Cuarț Compozit,"2.794,749 lei/mp",culori_quartz/images/calacatta-edera-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-EDERA-2-COANTE-1.avif,https://top-blat.ro/produs/calacatta-edera-quartz-coante/
63,Calacatta Extra – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/calacatta-extra-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-EXTRA-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/calacatta-extra-ceramica-atlas-plan/
64,Calacatta Gold – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/calacatta-gold-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-GOLD-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/calacatta-gold-ceramica-atlas-plan/
65,Calacatta Imperiale – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/calacatta-imperiale-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-IMPERIALE-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/calacatta-imperiale-ceramica-atlas-plan/
66,Calacatta Meraviglia – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/calacatta-meraviglia-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-MERAVIGLIA-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/calacatta-meraviglia-ceramica-atlas-plan/
67,Calacatta Michelangelo Soft Touch – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.268,888 lei/mp",culori_quartz/images/calacatta-michelangelo-soft-touch-ceramica-laminam.avif,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-MICHELANGELO-SOFT-TOUCH-2-LAMINAM-2.avif,https://top-blat.ro/produs/calacatta-michelangelo-soft-touch-ceramica-laminam/
68,Calacatta Miranda – Quartz Coante,Coante,Cuarț Compozit,"2.884,917 lei/mp",culori_quartz/images/calacatta-miranda-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-MIRANDA-2-COANTE-1.avif,https://top-blat.ro/produs/calacatta-miranda-quartz-coante/
69,Calacatta Olympos – Quartz Technistone,Technistone,Cuarț Compozit,"3.424,701 lei/mp",culori_quartz/images/calacatta-olympos-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-OLYMPOS-3-TECHNISTONE.avif,https://top-blat.ro/produs/calacatta-olympos-quartz-technistone/
70,Calacatta Oro Venato Lucidato – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.412,606 lei/mp",culori_quartz/images/calacatta-oro-venato-lucidato-ceramica-laminam.webp,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-ORO-VENATO-LUCIDATO-2-LAMINAM-2.webp,https://top-blat.ro/produs/calacatta-oro-venato-lucidato-ceramica-laminam/
71,Calacatta Oro Venato Soft Touch BM – Ceramica Laminam,Laminam,Ceramică Sinterizată,"2.268,888 lei/mp",culori_quartz/images/calacatta-oro-venato-soft-touch-bm-ceramica-laminam.webp,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-ORO-VENATO-SOFT-TOUCH-2-LAMINAM-2.webp,https://top-blat.ro/produs/calacatta-oro-venato-soft-touch-bm-ceramica-laminam/
72,Calacatta Pastino – Quartz Technistone,Technistone,Cuarț Compozit,"3.424,701 lei/mp",culori_quartz/images/calacatta-pastino-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-PASTINO-3-TECHNISTONE.avif,https://top-blat.ro/produs/calacatta-pastino-quartz-technistone/
73,Calacatta Prestigio – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/calacatta-prestigio-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-PRESTIGIO-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/calacatta-prestigio-ceramica-atlas-plan/
74,Calacatta Riviera – Quartz Coante,Coante,Cuarț Compozit,"2.972,688 lei/mp",culori_quartz/images/calacatta-riviera-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-RIVIERA-2-COANTE-2.avif,https://top-blat.ro/produs/calacatta-riviera-quartz-coante/
75,Calacatta Serchio – Quartz Technistone,Technistone,Cuarț Compozit,"3.424,701 lei/mp",culori_quartz/images/calacatta-serchio-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-SERCHIO-3-TECHNISTONE.avif,https://top-blat.ro/produs/calacatta-serchio-quartz-technistone/
76,Calacatta Viola – Ceramica Atlas Plan,Atlas Plan,Ceramică Sinterizată,"2.448,000 lei/mp",culori_quartz/images/calacatta-viola-ceramica-atlas-plan.webp,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-VIOLA-2-ATLAS-PLAN.webp,https://top-blat.ro/produs/calacatta-viola-ceramica-atlas-plan/
77,Calacatta Volegno – Quartz Technistone,Technistone,Cuarț Compozit,"3.424,701 lei/mp",culori_quartz/images/calacatta-volegno-quartz-technistone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CALACATTA-VOLENGO-3-TECHNISTONE.avif,https://top-blat.ro/produs/calacatta-volegno-quartz-technistone/
78,Calypso – Quartz Silestone,Silestone,Cuarț Compozit,"6.950,994 lei/mp",culori_quartz/images/calypso-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CALYPSO-2-SILESTONE.avif,https://top-blat.ro/produs/calypso-quartz-silestone/
79,Camden – Quartz Silestone,Silestone,Cuarț Compozit,"4.418,844 lei/mp",culori_quartz/images/camden-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CAMDEN-2-SILESTONE.avif,https://top-blat.ro/produs/camden-quartz-silestone/
80,Carbone – Quartz Cimstone,Cimstone,Cuarț Compozit,"2.218,500 lei/mp",culori_quartz/images/carbone-quartz-cimstone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CARBONE-CIMSTONE.avif,https://top-blat.ro/produs/carbone-quartz-cimstone/
81,Carrara Oro – Quartz Coante,Coante,Cuarț Compozit,"2.647,920 lei/mp",culori_quartz/images/carrara-oro-quartz-coante.avif,https://top-blat.ro/wp-content/uploads/2025/10/CARRARA-ORO-2-COANTE-2.avif,https://top-blat.ro/produs/carrara-oro-quartz-coante/
82,Cemento Spa – Quartz Silestone,Silestone,Cuarț Compozit,"4.418,844 lei/mp",culori_quartz/images/cemento-spa-quartz-silestone.webp,https://top-blat.ro/wp-content/uploads/2025/10/CEMENTO-SPA-2-SILESTONE.webp,https://top-blat.ro/produs/cemento-spa-quartz-silestone/
83,Charcoal Soapstone – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/charcoal-soapstone-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CHARCOAL-SOAPSTONE-2-SILESTONE.avif,https://top-blat.ro/produs/charcoal-soapstone-quartz-silestone/
84,Cincel Grey – Quartz Silestone,Silestone,Cuarț Compozit,"6.380,049 lei/mp",culori_quartz/images/cincel-grey-quartz-silestone.avif,https://top-blat.ro/wp-content/uploads/2025/10/CINCEL-GREY-2-SILESTONE.avif,https://top-blat.ro/produs/cincel-grey-quartz-silestone/
